identifier,text,keywords,Score
CNA_ENG_20080516.0038,"Taiwan's recycling shines on international stage. Taiwan's recycling efforts have become a model for the international community, with its recycling rate of 38.3 percent higher than the 33-34 percent common in European and American countries, an official said Friday. Environmental Protection Administration (EPA) Minister Winston Dang said the EPA has raised public awareness of the importance of resource recycling and set up the Recycling Fund Management Board in 1998 to manage recycling  in Taiwan  and raise the country's performance in the field. The EPA has also promoted the importance of resource recycling at educational institutions and set up recycling stations in public places,  including gas stations, bus stations,  airports,  and recreational areas, to achieve greater recycling efficiency. Those efforts have turned recycling into an NT$100 billion-a-year (US$3.23 billion) industry, Dang said at an award ceremony to honor individuals and communities that have made major contributions to environmental protection. He called on the public to make recycling an important part of their daily routine to do even better, and he also encouraged the younger generation to live based on the principle that everybody has a responsibility to protect their living environment.","{'recycling', 'awareness', 'efficiency'}",0.2049258736967519
NYT_ENG_20020312.0012,"IN NEW YORK CITY, DOING WELL TRUMPS DOING GOOD. A lot of the 1970s seems pretty remote these days. The Led Zeppelin records gather dust. High-mileage economy cars and low thermostats to conserve energy have given way to cheap gasoline and sport utility vehicles. Afros and ``Have a Nice Day'' buttons are the stuff of camp and kitsch. But recycling lives on. From its early roots after the first Earth Day in 1970, when parking lot recycling centers began popping up, reuse became the middle-American expression of environmental awareness. Recycling, its supporters believed, was a tiny lever that could work its way into the average American household _ and consciousness _ and through repetition and habit forge the realization that throwaway culture has its costs, that packaging matters, and that using less is probably a good thing. Mayor Michael Bloomberg now says recycling is rather more earthbound than that: It's about making the budget numbers work. Some recycling makes sense, specifically paper, which generates revenue for New York City, he said. But glass, metal and plastic recycling costs money, and under the mayor's budget plan is to be dropped, perhaps to be brought back when New York can better afford it. Few people dispute Bloomberg's assertion that tough times demand tough choices. But to a great degree, experts in consumer behavior say, the mayor's proposal _ and the anguished reaction that some people have had to it _ also says a lot about the long strange trip that recycling has been through over the years.","{'recycling', 'reuse', 'awareness'}",0.14736623807867796
XIN_ENG_20050112.0044,"HK to build Recovery Park for recycling industry. Hong Kong chief executive Tung  Chee Hwa announced Wednesday when making the Policy Address for  2005 that the government plans to build a Recovery Park in Tuen  Mun for use by the recycling industry. The first phase of the plan will be commissioned in late 2006,  said Tung, adding the move is another step on environment  protection. The chief executive said the government departments will adopt  an environmentally responsible procurement policy to help create a market for environmentally friendly products. ""We will also make it a policy to implement mandatory product  responsibility schemes to ensure the recovery and recycling of the products concerned. In the long tern, we need to consider the  enactment of legislation on recycling to build a recycling economy, "" said Tung. Tung said the government will also strengthen various reuse and recycle measures to effectively contain the rate of increase in  solid waste disposal.","{'recycling', 'procurement', 'reuse'}",0.1420699730182771
XIN_ENG_20070607.0278,"IDB approves 60 million-dollar loan to attract tourism in Argentina. The Inter-American Development Bank approved a 60 million-dollar loan on Thursday to improve solid waste management in municipalities that attract tourism in Argentina. The program will foster environmentally sustainable tourism through projects that implement technically, environmentally and financially viable solutions for integrated solid waste management, according to a statement released by the bank. The project will strengthen the capacity of the municipalities to accomplish this task and expand local community awareness and participation in this area, the statement added. The loan is for a 25-year term, with a five-year grace period, at a variable interest rate. Local counterpart funds for this loan will total 15 million dollars. Around 650 municipalities are part of the tourist circuits identified in Argentina's Federal Strategic Plan for Sustainable Tourism.","{'waste management', 'sustainable tourism', 'awareness'}",0.11598282690297025
XIN_ENG_20021003.0434,"Thailand supports local production of aromatic plant products. The Thai government supports local production of aromatic plant products as the aromatherapy has gained popularity around the world, according to a report of Thai News Agency Friday. Somsak Singholka, Director-General of Agriculture Department, was quoted as saying that the country had annually lost around three billion baht( 73 million U.S.dollars) in the import of the products. So, the department had a policy to support the research and development of low-cost technology for the local products which meet the quality standard, he said. The move would not only help save foreign currency, but also promote the awareness of local aromatic plants so they could be used for the aromatherapy, Somsak noted. The treatment by massaging the boy with special fragrant oils had gained increased popularity both locally and overseas since it could cure some diseases and help ease stress of working people, according to Somsak.","{'local production', 'awareness', 'local products'}",0.09921645953677671
XIN_ENG_20041030.0279,"Clean-up campaign launched in Kathmandu Valley. A 20-day public awareness campaign on solid waste management kicked off Sunday in Nepal's Kathmandu Valley, a Nepali official told Xinhua. The campaign targeting the general population, housewives and school children of Kathmandu, Lalitpur, Bhaktapur, Kirtipur and Madhyapur Thimi areas in the valley focuses on waste minimization, waste segregation and composting, recycling and safe disposal, said Surya Man Shakya, director general of the Solid Waste Management and Resources Mobilization Center. ""Generating public awareness and involving people in the management of solid waste is the key to turning the valley into a clean and neat place to live in,"" Shakya said. The event launched by the Ministry of Local Development intends to enhance sense of self-responsibility on solid waste management and promote proper management of solid waste such as recycle and reuse, he noted. During the campaign, there will be educational stalls with posters, dramas as well as materials on household and community composting, reducing, reusing and recycling components of waste minimization, making products from waste, and activities and programs on ecological sanitation, he added.","{'waste management', 'awareness', 'reuse', 'recycling'}",0.09541393764840334
XIN_ENG_20080627.0103,"Feature: World's tourism industry grapples with sustainability
challenge. With the number of travelers expected to reach a massive 1.6 billion by 2020, the world's largest money-minting machine has begun to be worried about its impacts on nature and local culture, according to industry watchers. Take a walk in the rainforest of Costa Rica, stay in huts in the bush in Senegal, visit a slum here or there... tourists are increasingly looking for total immersion, far from the crowds that have come to characterize the current tourism industry. ""The concept of sustainable tourism, which respects the nature and the local people, has slowly and timidly begun to gain currency across the globe,"" one Paris-based tourism analyst was quoted as saying in a recent magazine article. The dominant players in the world tourism industry have begun to exploit the theme of sustainable tourism. ""Over the recent past, the leading players have moved to increase marketing this kind of tourism,"" according to one industry insider. ""Now it is 80 percent communication and 20 percent reality in these campaigns. The aim is to reverse these proportions in 10 years,"" said Jean Viard, a French sociologist specializing in tourism.","{'sustainable tourism', 'local culture', 'sustainability'}",0.08853044580329372
WPB_ENG_20100525.0072,"Wal-Mart's `Green' Muscle Fuels Unruh's Goal of Sustainability. Outside the Starbucks on Manhattan's Park Avenue South, cars and pedestrians stream constantly through the insatiable beast of Grand Central Terminal, while inside caffeine junkies fuel up. I'm getting my own fix with Gregory Unruh, environmental consultant, director of the Glendale, Arizona, Lincoln Center for Ethics in Global Management and professor at the Thunderbird School of Global Management. Unruh not only preaches the gospel of responsible, green management, he can cite some unusual apostles, such as Wal-Mart. More broadly, Unruh (pronounced Oon-roo) wants to translate nature's lessons on efficiency into practices companies can adopt. He seeks links between the biosphere _ the amalgam of all the planet's ecosystems _ and business strategies that will provide a route to the holy grail of environmentalism: sustainability. ""We have only one model of a sustainable production system, and it's been operating on planet Earth for billions of years,"" Unruh tells me as we add to the Starbucks waste stream. ""The only place we can look for a model on sustainable production is the biosphere."" An avid hiker, Unruh gets much of his inspiration from long walks in nature. In the past year he has hiked in the Spanish Pyrenees, the Swiss Alps, the Costa Rican rain forest and Palm Canyon in southeast California.","{'sustainability', 'efficiency', 'sustainable production'}",0.08838833489871883
XIN_ENG_20101106.0059,"World dairy summit in New Zealand eyes sustainability. The three-day world dairy summit due in Auckland on Monday will focus on sustainability, with a conference on the final day dedicated to environmental issues. Run by the International Dairy Federation (IDF), the conference will update research covering climate change, carbon footprinting, water footprinting and reuse/recycling. The conference will start with a keynote speech from New Zealand scientist, Professor Martin Manning, of Victoria University, who will canvass the latest climate science and the direction that the dairy sector needs to take. ""To be sustainable, this sector needs to become adapted in ways that are consistent with the increasing pressures on our environment and threats to its stability,"" said  Manning, who is director of the Climate Change Research Institute in Wellington. ""Two key factors for this are the need for better approaches to water management and the reduction of greenhouse gas emissions,"" he said.","{'recycling', 'reuse', 'sustainability'}",0.08776005002425873
XIN_ENG_20101013.0464,"EU calls for cooperation with Asia for SMEs sustainable
development. Asian small and medium-sized enterprises (SMEs) need to raise their awareness of sustainable growth, an EU official said Wednesday, calling for cooperation between the EU and Asian countries. ""Sustainable development is a shared issue for countries all over the world,"" Thomas Wiley, head of section of Directorate D2 of EuropeAid Cooperation Office of the European Commission, said at a networking meeting of the SWITCH-Asia program. The program, started in 2007 with a budget of 90 million euros (125.2 million U.S. dollars) for a period of four years, focuses in particular on production performance of SMEs. ""The expectation from the program is that it will influence in a positive way the take-up of existing techniques for more sustainable production, and also increase the awareness of individual consumers and companies of the advantages and benefits of sustainable consumption and production,"" Wiley said. Wiley said environmental problems such as overuse of natural resources and unsustainable production of certain types of products are problems shared by both Europe and Asia.","{'sustainable consumption', 'awareness', 'sustainable production'}",0.0870358118028483
APW_ENG_20070905.1543,"Coca-Cola announces new plant, sets 100 percent recycling goal. Coca-Cola Co. announced Wednesday that it will help build a $45 million (euro33 million) recycling plant in South Carolina as it set a new goal to recycle or reuse every plastic bottle it sells in the United States. The company did not set a target date for meeting that goal and acknowledged it has a long way to go. About 10 percent of its plastic bottles are recycled now, the company said. ""We've set an ambitious goal,"" Sandy Douglas, president of the company's North American division, said at a press conference in Washington. ""We recognize that we still have a tremendous amount of work to do."" The 30-acre (12-hectare) plant would produce about 100 million pounds (45 million kilograms) of food-grade recyclable plastic per year. That is the equivalent of nearly 2 billion 20-ounce (567-gram) bottles or about 10 percent of the plastic used for U.S. production each year, the company said. Much of the recycled material would be used to make new bottles and other Coca-Cola products, including T-shirts aimed at raising awareness through slogans such as, ""I'm wearing post-consumer waste.""","{'recycling', 'reuse', 'awareness'}",0.07451488101343672
WPB_ENG_20101028.0037,"Australian Landlords Prepare for New Energy Efficiency Rules (Sydney). Australia's biggest office landlords are switching off lights and installing more efficient air conditioners ahead of rules demanding reporting of energy use in the nation with the developed world's second-highest greenhouse gas emissions per person. The largest property managers are ahead of legislation that becomes effective Monday requiring owners to reveal office buildings' energy efficiency to tenants and buyers, according to Simon Wild, Sydney-based principal at sustainable design consultants Cundall. Cundall worked with the U.K. Green Building Council on a study of the nation's sustainability rating tool, the results of which were released in August. ""The industry, particularly the tier one landlords, have been disclosing for a long time,"" Wild said. ""Australian companies are very much market-driven about how they can attract the big players in town to reside within their buildings."" GPT Group, Australia's second-biggest diversified property trust by market value, cut its buildings' greenhouse gas emissions by 28 percent between 2005 and 2009 by installing more efficient air conditioners and recycling more waste. Morgan Stanley-backed Investa Property Group's 21-story Ark building in North Sydney can generate electricity, recycle rainwater and recharge electric cars. Australia boasts some of the most environmentally friendly real-estate groups in the world, a survey of global companies by Netherlands-based Maastricht University found this year. Sydney- based GPT heads the Dow Jones Sustainability Index's 21-company real-estate leader list, a third of whose members are Australian, more than any other country.","{'recycling', 'efficiency', 'sustainability'}",0.07323321296672186
XIN_ENG_20090830.0231,"Beijing sets ""recycling"" day and offers door-to-door collection. Beijing's eight urban districts have set down the last Saturday of each month to collect recyclable waste materials such as used paper and plastic bottles. On Saturday municipal authorities set up 18 collection spots in various city communities and made public contact numbers for collection companies designated for each district. Now residents can enjoy door-to-door service by making a phone appointment with collection agencies. Each collection spot had received around one tonne of waste apiece by late Saturday, said the Beijing Municipal Commission of Commerce, co-organizer of the campaign. Duan Wei, a deputy director with the commission's service trade department, said the aim was to raise citizens' awareness of environmental protection and improve efficiency in reclaiming usable materials by selling waste to professional recycling agencies. Beijing has more than 3,000 collection centers for recyclable waste, covering both urban and suburban districts.","{'recycling', 'awareness', 'efficiency'}",0.07270269914918615
XIN_ENG_20070301.0054,"World Bank approves loan for east China's environment project. The World Bank (WB) has approved a loan of 147 million U.S. dollars to finance an environment project in east China's Shandong Province, the WB announced on Thursday. The project, worth 281 million U.S. dollars, aims to support the sustainability of the environment development in nine cities and counties of the province, including Weifang, Weihai and Yantai. Global Environment Facility (GEF) will also give the project a grant of five million U.S. dollars to reduce land-based pollution along the Yantai coast and the Bohai Sea by piloting septic tank waste management techniques. Shandong, one of China's fastest growing provinces, currently faces a shortage of water, inadequate waste water collection and treatment and lack of solid waste management facilities, which have caused the urban environment to deteriorate and the shallow Bohai Sea ecosystem to suffer. The WB will help Shandong address these challenges through the project, which involves building and upgrading waste disposal facilities and improving financial efficiency of key urban environmental services, said the project manager Wang Shenhua.","{'waste management', 'efficiency', 'sustainability'}",0.07156504235188312
XIN_ENG_20080227.0121,"Plan to recycle schoolbooks gets mixed reception in China. Chinese parents may have to stop urging their children to read not only with their eyes but also their hands, as they have done for years by relating how Chairman Mao wrote thoughtful comments in the margins of the numerous books he read. That's because many provinces, including Jiangsu, Shandong, Shanxi and Fujian, launched a textbook recycling campaign with the new semester that aims to cut paper use and raise students' awareness of preservation. If all the textbooks in China are reused for five years, the country can save an estimated 225 billion yuan (31 billion U.S. dollars). Under the program, primary and secondary schools distributed textbooks to students free of charge. The books will be collected at the end of the term for use by future students, so the books need to be kept in good condition. New textbooks each term has been the routine for most Chinese students for decades, especially in the comparatively prosperous coastal provinces. Many grandmothers have followed the ritual of making book covers for their beloved grandsons and granddaughters, who come home with their school bags full of new textbooks on the first day of a new semester. At least some students seemed receptive to the change. ""I like the idea of recycling my textbooks and I will do my best to keep my books as new as possible,"" said Zhang Muge, a Grade Two student in the Primary School Affiliated to Tianjin Normal University in Tianjin Municipality.","{'recycling', 'reuse', 'awareness'}",0.07127308870292937
XIN_ENG_19950119.0049,"Canadian Government Supports Sand Recycling System. The Canadian government voiced support today for a sand-recycling system developed to promote increased efficiency and environmental sustainability in small-scale foundry operations. The Canadian firm Gudgeon Brothers Limited has invested about 1 million Canadian dollars (about 700,000 U.S. dollars) in a three-year project to develop high-temperature systems for removing binding compounds from sand to enable the re-use of the sand in metal-casting operations. ""Federal support for this project is consistent with our strategy to help innovative Canadian businesses work in partnership to solve environmental challenges and pursue global market opportunities,"" said Industry Minister John Manley. Users of the systems can realize substantial cost savings through reduced need for new sand and waste disposal, and can more easily comply with local environmental standards, the minister added. Sand combined with a chemical binder is used in the foundry industry to make molds which are used to form castings varying in complexity from manhole covers to magnesium aerospace parts, according to Industry Canada, a trade publication.","{'recycling', 'efficiency', 'sustainability'}",0.07127252532591263
NYT_ENG_20070417.0259,"WANT EPA HOTEL AND CONVENTION CENTER BUSINESS? BE A BIT GREENER. The country's official environmental champion is putting its money where its mouth is. The Environmental Protection Agency has given its procurement staff a list of questions that, as of May 1, they must ask hotels and convention centers that are bidding for EPA business. The questions range from sweeping queries about recycling programs and energy efficiency to specific ones about paperless billing and reused towels. The agency said it would consider the answers when it evaluates bids. ""We can use our own purchasing power to influence behavior, and to strengthen the link to our mission of protecting health and the environment,"" said Thomas A. O'Connell, an EPA procurement director who led the Green Meetings Work Group that devised the new rule. The EPA spends about $50 million on travel annually, much of it for meeting spaces. The General Services Administration, which sets policy for all government travel, is amending its own rules to suggest that meeting planners throughout the government consult the EPA checklist. That could affect a significant chunk of the $13.5 billion in annual federal spending for travel. EPA will not check on the truthfulness of a hotel's answers, and travel bookers can still accept bids from hotels that do not pass environmental muster. ""But meeting planners usually follow our recommendations,"" said Peggy G. DeProspero, travel director for the GSA.","{'recycling', 'procurement', 'reuse', 'efficiency'}",0.06561452745705096
CNA_ENG_20050829.0018,"EPA TRYING TO TACKLE ILLEGAL FACTORY DUMPING OF WASTE AT THE SOURCE. The Environmental Protection Administration (EPA) has been making spot-checks on factories in Taipei and Tainan counties since July in a comprehensive crackdown on illegal waste dumping. The EPA is also enlisting the help of experts and scholars in environmental protection for the inspections, and they are also offering suggestions to the companies and consulting with them on how to meet EPA requirements. EPA officials said that illegal waste dumping has become far too prevalent in Taiwan. Among recent major incidents, the illegal dumping of solvents into the Kaoping River, which affected drinking water in the greater Kaohsiung area in 2000, was a low point. The officials said that although most of the waste dumping is due to wanton violation of the law, some producers of factory waste do not properly manage their affairs and their waste is often turned over to rogue waste disposal companies. The EPA crackdown will continue until the end of September. About 100 factories and recycling plants have so far been visited to measure the efficiency of their production processes, waste management, disposal facilities maintenance, waste reduction efforts and recycling.","{'waste management', 'efficiency', 'recycling'}",0.06443209173301004
XIN_ENG_20091115.0137,"(Universal Children's Day) Feature: Jordan's dream is to work for
environmental sustainability. By Jiang Yaping MELBOURNE, Nov. 15 (Xinhua) -- Like many boys his age, 11-year- old Jordan Hartman is interested in sports and games but what sets him apart from many of his peers is his keenness on environmental issues. He was among 10 children from around the globe selected as the ""universal dream kids,"" for their bravery, environmental awareness, and their cravings for education. The selection is part of a global campaign launched by the Xinhua News Agency and the United Nations Children's Fund (UNICEF) to mark the 20th anniversary of the adoption of the Convention on the Rights of the Child by the United Nations on Nov. 20, 1989. In his backyard garden, Jordan uses a compost bin to create compost for the garden, and he has recycling bins for all plastic and cardboard recyclables. Along with these bins, there are installations of water saving appliances and grey water diverters to reuse laundry water and shower water on the garden.","{'recycling', 'reuse', 'awareness', 'sustainability'}",0.062327392924519706
